the prefault Y-bus is: 
0.000000-33.808480i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+17.361111i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 

0.000000+0.000000i	 0.000000-24.347245i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+16.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 

0.000000+0.000000i	 0.000000+0.000000i	 0.000000-22.580566i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+17.064846i	 

0.000000+17.361111i	 0.000000+0.000000i	 0.000000+0.000000i	 3.307379-39.308889i	 -1.365188+11.604096i	 -1.942191+10.510682i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 

0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 -1.365188+11.604096i	 3.813787-17.842628i	 0.000000+0.000000i	 -1.187604+5.975135i	 0.000000+0.000000i	 0.000000+0.000000i	 

0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 -1.942191+10.510682i	 0.000000+0.000000i	 4.101848-16.133476i	 0.000000+0.000000i	 0.000000+0.000000i	 -1.282009+5.588245i	 

0.000000+0.000000i	 0.000000+16.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 -1.187604+5.975135i	 0.000000+0.000000i	 2.804727-35.445613i	 -1.617122+13.697979i	 0.000000+0.000000i	 

0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 0.000000+0.000000i	 -1.617122+13.697979i	 3.741186-23.642391i	 -1.155087+9.784270i	 

0.000000+0.000000i	 0.000000+0.000000i	 0.000000+17.064846i	 0.000000+0.000000i	 0.000000+0.000000i	 -1.282009+5.588245i	 0.000000+0.000000i	 -1.155087+9.784270i	 2.437097-32.153862i	 

